assembly_accession,locus_tag,product_accession,contigID,start,end
GCA_000969905.1,MSVAZ_0606,AKB42875.1,,742258,743013
GCA_000245275.2,BBOLJCCI_00916,BBOLJCCI_00916,,865641,866477
GCA_002898355.1,HRbin01_01462,GBC69758.1,,10105,10815
GCA_000979505.1,DU30_12745,KKG32395.1,,14837,15127
GCA_002728035.1,CMA86_06685,MBR69176.1,,3790,4983
GCA_002508705.1,BCLHLAGL_01166,BCLHLAGL_01166,,83112,83669
GCA_001508695.1,XE11_0479,KUL04699.1,,123604,124530
GCA_000371805.1,IGBKDIJD_00735,IGBKDIJD_00735,,643124,643897
GCA_000013445.1,Mhun_1865,ABD41582.1,,2107867,2108724
GCA_000979915.1,DU54_12120,KKH37506.1,,77393,78214
GCA_002503885.1,KJFGHKLO_01243,KJFGHKLO_01243,,27093,27599
GCA_000016605.1,Msed_1143,ABP95304.1,,1080127,1081098
GCA_001316045.1,IKCEDMHP_02631,IKCEDMHP_02631,,3842,4768
GCA_000024185.1,mru_0792,ADC46643.1,,1023766,1024497
GCA_001560525.1,NGHHJGKP_00008,NGHHJGKP_00008,,8453,9637
GCA_000263735.1,Py04_0110,AFK21716.1,,108227,108715
GCA_001189275.1,PYWP30_00267,AKT33925.1,,238238,238888
GCA_000980085.1,DU78_14135,KKH82991.1,,18128,19000
GCA_002503125.1,ABDDPAGI_01202,ABDDPAGI_01202,,3637,5898
GCA_000979915.1,DU54_18165,KKH42682.1,,9110,9784
GCA_001548675.1,TL18_06950,AMD17775.1,,1546613,1547299
GCA_002116695.1,B6F84_00150,ARM74594.1,,66671,67408
GCA_001560555.1,JNMGENJO_01969,JNMGENJO_01969,,299944,300786
GCA_001266695.1,MsedC_1185,AKV78689.1,,1134170,1134451
GCA_001433455.1,TBCH5v1_0731,ALM74689.1,,628109,630481
GCA_000978945.1,DU49_08905,KKG30223.1,,6434,7174
GCA_001560085.1,KKBOFOMO_00008,KKBOFOMO_00008,,8455,9639
GCA_000245235.2,PMPIPMEH_00884,PMPIPMEH_00884,,842543,842956
GCA_000327505.1,AciM339_1517,AGB05370.1,,1382888,1383724
GCA_900129775.1,SAMN05443636_3107,SHH65654.1,,23399,23941
GCA_000204925.1,Mcup_1143,AEB95248.1,,1026059,1026868
GCA_000007305.1,PF1118,AAL81242.1,,1066279,1067247
GCA_000338775.1,SacRon12I_10200,AGE74258.1,,1864620,1865375
GCA_900012635.1,CHITON_0194,CUX76973.1,,159405,160268
GCA_000007005.1,SSO1392,AAK41628.1,,1241293,1241898
GCA_000025525.1,MFS40622_1175,ADC69852.1,,1145437,1146159
GCA_000245235.2,PMPIPMEH_00896,PMPIPMEH_00896,,866023,866634
GCA_002214485.1,A3L08_07415,ASJ07160.1,,1344014,1344649
GCA_000508305.1,SUSAZ_10305,AHC52238.1,,1871474,1872310
GCA_000725425.1,PAP_08415,AIF70069.1,,1514471,1515241
GCA_001639295.1,MBCUR_11940,KZX12042.1,,11235,12425
GCA_000016385.1,Pars_1119,ABP50697.1,,1010175,1010990
GCA_001560315.1,COBLBLBO_02076,COBLBLBO_02076,,126490,127407
GCA_002508805.1,NGACKDAF_00886,NGACKDAF_00886,,2360,4759
GCA_002496325.1,IEMAJLHG_01236,IEMAJLHG_01236,,8152,10383
GCA_002497655.1,JKPBIJGD_01241,JKPBIJGD_01241,,20463,21188
GCA_001560135.1,GGEFHGDP_00024,GGEFHGDP_00024,,29048,29890
GCA_000979295.1,EO95_18045,KKH96220.1,,7863,8774
GCA_000328665.1,Metho_1145,AGB49379.1,,1151568,1152536
GCA_002503125.1,ABDDPAGI_01669,ABDDPAGI_01669,,7739,8491
GCA_000970005.1,MSWH1_1683,AKB21954.1,,2066022,2066519
GCA_000019605.1,Kcr_0447,ACB07200.1,,462188,463588
GCA_001316265.1,DKJMNHKE_00637,DKJMNHKE_00637,,171064,171369
GCA_002494495.1,BEGFIMFN_00531,BEGFIMFN_00531,,177887,180403
GCA_002509565.1,KCGEAFKK_02346,KCGEAFKK_02346,,4270,5127
GCA_002215485.1,NDPOHDCN_02073,NDPOHDCN_02073,,1907204,1907809
GCA_000389735.1,JHAIECIJ_01650,JHAIECIJ_01650,,9946,10845
GCA_000979275.1,DU82_13505,KKH84136.1,,10415,10984
GCA_000970065.1,MSBR2_1622,AKB58138.1,,2100180,2102678
GCA_002498845.1,HAAFCEFH_00052,HAAFCEFH_00052,,4687,5241
GCA_001560725.1,OHBKOFBI_02076,OHBKOFBI_02076,,31775,32536
GCA_000336855.1,C460_06838,ELZ59540.1,,125465,128110
GCA_900116205.1,SAMN04488556_0127,SFT09988.1,,14569,17286
GCA_002498375.1,INDGFGCA_00633,INDGFGCA_00633,,27890,30448
GCA_000247545.1,Pogu_1158,AFA39185.1,,993755,994180
GCA_900248165.1,NCAV_1780,SPC34943.1,,1557739,1558308
GCA_000017165.1,Mevan_0231,ABR54140.1,,274105,274980
GCA_000969985.1,MSBRW_1618,AKB50871.1,,2016077,2017729
GCA_900079115.1,SSOP1_1550,SAI85104.1,,1366316,1367152
GCA_000965745.1,IX51_06670,AKA48838.1,,1253080,1253976
GCA_000385565.1,Asulf_01253,AGK61249.1,,1149869,1150555
GCA_002495565.1,IDGFBHFN_01163,IDGFBHFN_01163,,99249,100082
GCA_002507365.1,JEBPBINO_01733,JEBPBINO_01733,,16041,16595
GCA_001508615.1,XE07_1843,KUK95384.1,,29718,30332
GCA_001560205.1,HHJEFJGM_01018,HHJEFJGM_01018,,407992,408603
GCA_001560795.1,DKHEPMGO_00031,DKHEPMGO_00031,,33535,34140
GCA_001315925.1,GCPPHECD_00752,GCPPHECD_00752,,14627,15031
GCA_000008085.1,NEQ001,AAR38856.1,,490883,490885
GCA_000189575.1,SiH_0762,ADX82117.1,,750771,751685
GCA_002499445.1,ACBPDHNH_02621,ACBPDHNH_02621,,29532,29942
GCA_000022485.1,YN1551_2118,ACP49139.1,,1889298,1889990
GCA_000979335.1,DU31_12925,KKG03139.1,,15646,16635
GCA_000965745.1,IX51_11825,AKA49675.1,,2223652,2224917
GCA_000007005.1,SSO1389,AAK41626.1,,1231762,1232895
GCA_000970285.1,MSHOH_0852,AKB77335.1,,1010575,1010865
GCA_000245175.2,JFKDKKGG_00927,JFKDKKGG_00927,,892571,893182
GCA_000970085.1,MSSIT_1875,AKB28594.1,,2342334,2342639
GCA_000024185.1,mru_1997,ADC47847.1,,2555522,2556460
GCA_000494205.1,KLFKALOH_01232,KLFKALOH_01232,,15361,16377
GCA_000389735.1,JHAIECIJ_01645,JHAIECIJ_01645,,2406,4388
GCA_000405685.1,MOJINBJL_00200,MOJINBJL_00200,,49634,50356
GCA_002504485.1,GDKBANGK_02069,GDKBANGK_02069,,42662,43390
GCA_002494745.1,MHGNJMBD_01314,MHGNJMBD_01314,,5510,6280
GCA_002499445.1,ACBPDHNH_01209,ACBPDHNH_01209,,105081,105968
GCA_000012545.1,Msp_0420,ABC56821.1,,484255,485214
GCA_001714685.2,BGV40_03150,OEU43625.1,,12244,13155
GCA_001560195.1,AHFFPLAJ_00603,AHFFPLAJ_00603,,143527,144444
GCA_001316085.1,CIBGEIDD_02461,CIBGEIDD_02461,,12698,13765
GCA_000363885.1,J422_05279,ENN95916.1,,5156,7717
GCA_002509495.1,POINIJML_01944,POINIJML_01944,,4847,6697
GCA_000008645.1,MTH_323,AAB84829.1,,257970,258872
GCA_000275605.1,PFC_04845,AFN03916.1,,876476,876973
GCA_000565255.1,ASUL_09859,EWG06384.1,,2919,3296
GCA_001560085.1,KKBOFOMO_01985,KKBOFOMO_01985,,542458,543213
GCA_000979515.1,DU35_19610,KKG39966.1,,4643,5644
GCA_000363885.1,J422_04735,ENN96018.1,,12664,13209
GCA_002718975.1,CMB63_07375,MBJ09808.1,,20401,21237
GCA_001458655.1,MB9_0869,CEL24510.1,,886059,888500
GCA_000336875.1,C463_14180,ELZ40746.1,,22467,23459
GCA_002194565.1,Pdsh_06840,OWJ54507.1,,32899,33729
GCA_000685155.1,ANME2D_00189,KCZ73130.1,,174602,174895
GCA_000175555.1,DGMHJNOM_02744,DGMHJNOM_02744,,8350,9135
GCA_000504205.1,MettiDRAFT_0769,ETA67349.1,,799124,801508
GCA_900106905.1,SAMN04515625_0581,SDW27954.1,,19239,19943
GCA_002494785.1,PAMJGCOD_01644,PAMJGCOD_01644,,267915,268760
GCA_000338775.1,SacRon12I_10175,AGE74253.1,,1859387,1860148
GCA_000789255.1,GACE_1645,AIY90676.1,,1362270,1363340
GCA_001266675.1,MsedB_1183,AKV76434.1,,1129357,1129992
GCA_000204415.1,MCON_3267,AEB69538.1,,2754450,2755370
GCA_000025665.1,Aboo_0391,ADD08202.1,,385171,386385
GCA_001315845.1,FNHJBKPH_00917,FNHJBKPH_00917,,105257,105979
GCA_002252585.1,JBCPGOIN_00232,JBCPGOIN_00232,,227418,228140
GCA_002506085.1,GIHHICAA_00849,GIHHICAA_00849,,23707,25470
GCA_001577775.1,TQ32_03875,AMM53711.1,,721679,722743
GCA_000327505.1,AciM339_1510,AGB05363.1,,1375591,1375854
GCA_002502975.1,JAIKEOCJ_02209,JAIKEOCJ_02209,,7796,8683
GCA_000190035.2,GOLENNII_00757,GOLENNII_00757,,62561,63355
GCA_002010075.1,CBEJEKJO_01404,CBEJEKJO_01404,,18578,19258
GCA_000494165.1,DJPPGCIM_00374,DJPPGCIM_00374,,8166,9095
GCA_002494725.1,COKGHKON_00499,COKGHKON_00499,,17248,20364
GCA_000979585.1,DU36_14140,KKG50921.1,,8597,9220
GCA_001315865.1,GCINHJJH_04638,GCINHJJH_04638,,9080,10018
GCA_000024745.1,Ssol_2349,ACX92518.1,,2148577,2149989
GCA_000017185.1,Maeo_1075,ABR56652.1,,1120337,1120630
GCA_001508695.1,XE11_1714,KUL02616.1,,13486,14583
GCA_000190135.2,DPECFMIL_00342,DPECFMIL_00342,,79640,80323
GCA_000189995.2,PNAFNNKE_00782,PNAFNNKE_00782,,62407,63201
GCA_001559985.1,BBNBGPAA_01179,BBNBGPAA_01179,,385411,386022
GCA_002010165.1,OFFINIKF_00350,OFFINIKF_00350,,125915,126178
GCA_000022445.1,M164_0890,ACR41502.1,,844266,845180
GCA_002495685.1,GGDPLPCN_00608,GGDPLPCN_00608,,18036,20438
GCA_000308215.1,HBHAPLFH_02085,HBHAPLFH_02085,,724224,726425
GCA_000215995.1,PYCH_13860,AEH25056.1,,1216595,1217314
GCA_002506455.1,ADCKCHDA_01949,ADCKCHDA_01949,,115287,116198
GCA_002215445.1,NJIMJNHF_02048,NJIMJNHF_02048,,1894360,1895115
GCA_000243315.1,MetMK1DRAFT_00005080,EHP70006.1,,277167,277982
GCA_000023985.1,Mefer_0968,ACV24786.1,,910259,911389
GCA_000979115.1,DU58_12380,KKH23876.1,,11435,11725
GCA_001266715.1,MsedD_1179,AKV80928.1,,1124904,1125752
GCA_001560035.1,OFPDGDDC_02306,OFPDGDDC_02306,,104042,104944
GCA_000734035.1,AFULGI_00021180,AIG98860.1,,1830432,1831490
GCA_001560035.1,OFPDGDDC_00468,OFPDGDDC_00468,,257996,258661
GCA_001560065.1,EAAEAGMB_01986,EAAEAGMB_01986,,524629,525480
GCA_000025665.1,Aboo_0305,ADD08116.1,,302770,303741
GCA_001683555.1,A9957_06660,OBZ35636.1,,890,1678
GCA_000190095.2,PDNALMCC_00061,PDNALMCC_00061,,58879,59322
GCA_001485555.1,HHDOOICP_00533,HHDOOICP_00533,,525974,526246
GCA_001316165.1,OADDBBNO_00608,OADDBBNO_00608,,42917,43432
GCA_002501725.1,LDOBEMPF_00887,LDOBEMPF_00887,,33229,33915
GCA_000251105.1,Mtc_1193,AFC99946.1,,1157038,1159089
GCA_001940805.1,NCIBAPMP_00623,NCIBAPMP_00623,,112,2346
GCA_002501655.1,JLJEEGKO_02092,JLJEEGKO_02092,,47334,47621
GCA_000304355.2,BN140_2461,CCJ37384.1,,2617566,2620031
GCA_000474235.1,MBEHAL_2379,GAD53619.1,,1973,4123
GCA_900215215.1,SAMN06295989_1024,SNY03426.1,,2095,2871
GCA_002495805.1,GIBJHOOC_00147,GIBJHOOC_00147,,36656,37591
GCA_002839675.1,CVV30_09635,PKL68185.1,,37435,38367
GCA_000430485.1,AEIHIJLH_00973,AEIHIJLH_00973,,582178,582843
GCA_002214605.1,A3L04_09080,ASJ17207.1,,1650490,1651428
GCA_002507025.1,OJGHGGOH_01776,OJGHGGOH_01776,,53603,53872
GCA_002502635.1,HPOBLHIK_01242,HPOBLHIK_01242,,7480,8289
GCA_002506095.1,ALKMMDLD_01684,ALKMMDLD_01684,,6525,7208
GCA_002287175.1,ASJ80_10875,PAV04808.1,,130290,131255
GCA_002508765.1,HGKIOEGM_02076,HGKIOEGM_02076,,54993,55838
GCA_002503585.1,AIGGBOHE_00644,AIGGBOHE_00644,,6849,7361
GCA_000978955.1,DU34_02560,KKG14593.1,,41028,42017
GCA_000190155.2,BBHNILEB_00094,BBHNILEB_00094,,22000,24363
GCA_000980175.1,DU83_00435,KKI05935.1,,19260,20765
GCA_000430905.1,PGGLHOLM_01478,PGGLHOLM_01478,,25170,26036
GCA_002687355.1,CL964_01530,MAE56677.1,,5141,5446
GCA_001560525.1,NGHHJGKP_00006,NGHHJGKP_00006,,7456,8142
GCA_000195895.1,Mbar_A0304,AAZ69288.1,,355894,356157
GCA_000968435.1,SULA_2314,AKA79867.1,,2131617,2132261
GCA_002813695.1,BK009_03700,AUB59855.1,,798665,799258
GCA_002495625.1,KJBCMANH_00989,KJBCMANH_00989,,51818,52336
GCA_001560645.1,AEPHJOEN_01074,AEPHJOEN_01074,,76712,77398
GCA_001508695.1,XE11_1804,KUL02334.1,,3843,5735
GCA_000979515.1,DU35_15650,KKG44333.1,,11239,12072
GCA_002506905.1,OKIACAAI_00551,OKIACAAI_00551,,29145,29417
GCA_000175555.1,DGMHJNOM_02738,DGMHJNOM_02738,,2751,3542
GCA_001508695.1,XE11_1756,KUL02462.1,,2517,3068
GCA_002509505.1,LGIJLPOE_00296,LGIJLPOE_00296,,22396,22986
GCA_000215915.3,HLRTI_001206,ERJ06790.1,,76609,78723
GCA_000978965.1,DU33_00735,KKG51549.1,,504,1721
GCA_002214605.1,A3L04_09065,ASJ17204.1,,1644794,1646233
GCA_000337755.1,C435_09189,EMA18802.1,,5304,6332
GCA_000979825.1,DU62_08490,KKH14807.1,,70942,71775
GCA_000979335.1,DU31_12895,KKG03133.1,,7140,8012
GCA_002952775.1,AArcSl_0548,AUX08198.1,,560479,561372
GCA_001577775.1,TQ32_06470,AMM54160.1,,1222505,1222993
GCA_000189915.2,LIEIOMCG_00153,LIEIOMCG_00153,,52192,52635
GCA_002287235.1,ASJ81_14715,PAV14230.1,,7429,9513
GCA_900079115.1,SSOP1_2122,SAI85676.1,,1873792,1875195
GCA_000529525.1,HFMMEKKD_02325,HFMMEKKD_02325,,34719,35849
GCA_002494845.1,IDMPIBDE_00980,IDMPIBDE_00980,,47965,48897
GCA_000175555.1,DGMHJNOM_01690,DGMHJNOM_01690,,2165,2722
GCA_000215995.1,PYCH_08000,AEH24485.1,,699830,702712
GCA_001560435.1,PKHHENCB_01426,PKHHENCB_01426,,91269,91736
GCA_900107665.1,SAMN04488065_2957,SEA40084.1,,20666,23299
GCA_000195935.2,PAB1689,CAB49933.1,,980033,981622
GCA_900109425.1,SAMN05216170_1521,SEW09367.1,,331486,332250
GCA_000190315.1,VMUT_1490,ADY01695.1,,1476978,1477955
GCA_001914405.1,BTN85_0806,OKY78318.1,,776159,777064
GCA_002502735.1,AADDOCAN_00337,AADDOCAN_00337,,71317,72252
GCA_002009975.1,NLGENHDN_01458,NLGENHDN_01458,,99536,100378
GCA_001316265.1,DKJMNHKE_00619,DKJMNHKE_00619,,158726,159082
GCA_000258515.1,PMECMBPP_00754,PMECMBPP_00754,,716068,717264
GCA_001766815.1,SCAL_001100,OFV67725.1,,133793,135691
GCA_000007225.1,PAE0068,AAL62539.1,,36287,38116
GCA_000405885.1,NGCLDBDJ_00913,NGCLDBDJ_00913,,4830,7226
GCA_002504765.1,AFILAJDB_02034,AFILAJDB_02034,,8636,9547
GCA_000017945.1,Igni_0462,ABU81645.1,,407151,408071
GCA_000091665.1,MJ_0383,AAB98371.1,,347674,349518
GCA_002010955.1,LNGEHMJO_00449,LNGEHMJO_00449,,15969,16763
GCA_000007185.1,MK1316,AAM02529.1,,1334554,1335609
GCA_002503565.1,BFIHCEDP_00688,BFIHCEDP_00688,,13532,15793
GCA_001481595.1,ATY89_08715,ALU30006.1,,1668799,1669464
GCA_001748385.1,CDOAMCFG_01923,CDOAMCFG_01923,,84980,85966
GCA_000979555.1,DU41_19555,KKG41066.1,,9209,10210
GCA_000711905.1,ENACBEBM_00432,ENACBEBM_00432,,5523,6293
GCA_000969925.1,MSTHC_0795,AKB15113.1,,1006096,1006893
GCA_900198835.1,OAOADCOO_00936,OAOADCOO_00936,,824682,825464
GCA_002506095.1,ALKMMDLD_01686,ALKMMDLD_01686,,8068,9951
GCA_001560085.1,KKBOFOMO_01984,KKBOFOMO_01984,,541572,542408
GCA_000151205.2,TAM4_2175,EEB73318.1,,468770,471376
GCA_900176435.1,SAMN02745355_1329,SMD31396.1,,5205,6116
GCA_002509545.1,KCJDGJBM_00698,KCJDGJBM_00698,,33313,35094
GCA_001508185.1,XD62_1325,KUK29593.1,,3504,4376
GCA_000398765.1,EJAAJFKD_00986,EJAAJFKD_00986,,40918,42357
GCA_000710615.1,BKFOFDAA_03688,BKFOFDAA_03688,,109,927
GCA_001560725.1,OHBKOFBI_02339,OHBKOFBI_02339,,85216,85512
GCA_000404165.1,Abm4_0110,AGN16031.1,,129998,130969
GCA_002497745.1,OJCHPJKJ_01389,OJCHPJKJ_01389,,10723,11868
GCA_001560645.1,AEPHJOEN_01058,AEPHJOEN_01058,,57819,58736
GCA_001484685.1,ADU37_CDS18340,ALV63533.1,,1551730,1552737
GCA_002494745.1,MHGNJMBD_01316,MHGNJMBD_01316,,6681,9074
GCA_000243315.1,MetMK1DRAFT_00006860,EHP70184.1,,432862,433515
GCA_001560385.1,HJJKLNCI_01919,HJJKLNCI_01919,,40792,41628
GCA_000190155.2,BBHNILEB_00334,BBHNILEB_00334,,29386,30069
GCA_000979995.1,DU74_15400,KKH56691.1,,18073,18897
GCA_000970025.1,MSBRM_0208,AKB53206.1,,232742,234370
GCA_000204415.1,MCON_3378,AEB69627.1,,2842091,2843104
GCA_001560675.1,JCCFAKJJ_02232,JCCFAKJJ_02232,,39122,39589
GCA_002214485.1,A3L08_00830,ASJ05978.1,,133033,133782
GCA_000008665.1,AF_1871,AAB89377.1,,1682556,1683515
GCA_000019805.1,Tneu_1138,ACB40068.1,,1027204,1027875
GCA_002011215.1,MOAEJBEB_01227,MOAEJBEB_01227,,9010,9753
GCA_002507065.1,PBMPGCGL_03068,PBMPGCGL_03068,,8332,8997
GCA_002498385.1,PLDGHLCE_00409,PLDGHLCE_00409,,1978,4422
GCA_000980055.1,DU86_04415,KKH74791.1,,48011,48685
GCA_000186365.1,Desmu_0992,ADV65294.1,,974767,975321
GCA_001484195.1,APY94_08675,KUH32848.1,,104059,104691
GCA_001559985.1,BBNBGPAA_00150,BBNBGPAA_00150,,156455,157372
GCA_000979735.1,DU61_07525,KKG84145.1,,13756,14046
GCA_000175555.1,DGMHJNOM_00256,DGMHJNOM_00256,,147,413
GCA_002487355.1,AOIFKBFE_03167,AOIFKBFE_03167,,24340,25251
GCA_001560275.1,GKBDGCJL_00033,GKBDGCJL_00033,,34969,35730
GCA_002506095.1,ALKMMDLD_01204,ALKMMDLD_01204,,52238,54994
GCA_001266655.1,MsedA_1181,AKV74195.1,,1129361,1129996
GCA_000011205.1,STK_19780,BAK54699.1,,1988503,1989369
GCA_001458655.1,MB9_0864,CEL24505.1,,881677,882183
GCA_002356395.1,tca_00491,BAZ98566.1,,463702,464295
GCA_002498505.1,FKLPHGPC_00310,FKLPHGPC_00310,,576,2267
GCA_001477655.1,sm9_1186,ALT68969.1,,1312238,1314661
GCA_002509505.1,LGIJLPOE_00302,LGIJLPOE_00302,,27944,28831
GCA_001563245.1,YLM1_0391,AMK14951.1,,461119,461613
GCA_001856845.1,AMDU5_GPLC00019G0107,EQB68021.1,,105225,105515
GCA_001560375.1,EEHAGKII_00593,EEHAGKII_00593,,309,710
GCA_002813675.1,BK008_09780,AUB58573.1,,1997821,2000253
GCA_002503125.1,ABDDPAGI_01665,ABDDPAGI_01665,,1976,4420
GCA_002355635.1,HIPEIFMM_01083,HIPEIFMM_01083,,1090932,1093754
GCA_001647155.1,AV929_20240,KZX49607.1,,12980,13846
GCA_900110465.1,SAMN04487948_12026,SEP19512.1,,37228,39342
GCA_001571405.1,FKDNEIIE_00738,FKDNEIIE_00738,,71131,72162
GCA_000302455.1,A994_11392,EKF84795.1,,905,1870
GCA_001560595.1,EINEJKDB_02344,EINEJKDB_02344,,74058,74525
GCA_000245255.2,OEHBGHGL_00002,OEHBGHGL_00002,,2170,2928
GCA_002498065.1,OBIMILLO_01729,OBIMILLO_01729,,32447,33481
GCA_000978965.1,DU33_12865,KKG51040.1,,6414,7016
GCA_000015765.1,Mlab_0853,ABN07024.1,,838893,839183
GCA_001560565.1,HGEKADFK_02327,HGEKADFK_02327,,47511,49511
GCA_000016605.1,Msed_1151,ABP95312.1,,1095685,1096335
GCA_000189555.1,SiRe_0600,ADX84683.1,,580905,582320
GCA_000337575.1,C483_09419,ELY91749.1,,88651,89643
GCA_000979895.1,DU37_11720,KKH31133.1,,15908,17539
GCA_002509655.1,LODLIDLP_01346,LODLIDLP_01346,,1317,2297
GCA_002494845.1,IDMPIBDE_01457,IDMPIBDE_01457,,311200,311940
GCA_900064395.1,ENBABGMI_01346,ENBABGMI_01346,,8748,9716
GCA_000447865.2,JJAGBOJA_01347,JJAGBOJA_01347,,1379922,1380182
GCA_000015765.1,Mlab_0852,ABN07023.1,,837855,838889
GCA_000023985.1,Mefer_1433,ACV25237.1,,1345342,1346991
GCA_001800815.1,A3K60_00785,OGS56980.1,,31643,32638
GCA_000380705.1,FPMCCHJL_00291,FPMCCHJL_00291,,15361,16377
GCA_002503585.1,AIGGBOHE_00642,AIGGBOHE_00642,,5533,5802
GCA_000211475.1,PNA2_1827,AEC52742.1,,1707912,1709552
GCA_000979995.1,DU74_09235,KKH57612.1,,91239,91439
GCA_000006175.2,Mvol_0530,ADI36190.1,,551698,552798
GCA_002871295.1,C0177_04390,PMB77047.1,,3495,4148
GCA_000979585.1,DU36_16290,KKG52008.1,,72672,72872
GCA_000245275.2,BBOLJCCI_00938,BBOLJCCI_00938,,887581,888294
GCA_000214725.1,MSWAN_1416,AEG18430.1,,1541613,1542230
GCA_002287235.1,ASJ81_14720,PAV14231.1,,9755,10357
GCA_000011105.1,,BAA29234.1,,142867,143742
GCA_000404225.1,MMINT_09190,AGN26278.1,,924489,925358
GCA_001412615.1,Pyrde_0313,ALL00363.1,,303803,304039
GCA_002497365.1,GKALIOIL_01604,GKALIOIL_01604,,501478,502443
GCA_000591035.1,ACAM_0344,BAN89813.1,,314428,314991
GCA_002078205.2,B7L70_02220,PLC68688.1,,36524,37096
GCA_000007225.1,PAE0075,AAL62543.1,,41005,41745
GCA_000189575.1,SiH_0869,ADX82222.1,,877957,878604
GCA_002010045.1,GLICIPPC_00003,GLICIPPC_00003,,7764,8285
GCA_002505925.1,ELPLKGLN_00789,ELPLKGLN_00789,,2118,2630
GCA_002194565.1,Pdsh_08105,OWJ54420.1,,239608,240609
GCA_001315945.1,MFNCFEDD_02081,MFNCFEDD_02081,,42028,42507
GCA_000762265.1,BRM9_1897,AIS32701.1,,1933441,1934388
GCA_001548675.1,TL18_04910,AMD17416.1,,1152124,1152399
GCA_000496135.1,AMDU2_EPLC00006G0149,EQB66592.1,,148517,149032
GCA_000979295.1,EO95_18000,KKH99572.1,,6548,8725
GCA_002010165.1,OFFINIKF_00352,OFFINIKF_00352,,127269,127766
GCA_000978955.1,DU34_02570,KKG14595.1,,42443,43267
GCA_000019805.1,Tneu_0567,ACB39509.1,,519949,520737
GCA_001560455.1,GALLAPDK_01745,GALLAPDK_01745,,301325,302509
GCA_002214545.1,A3L14_03760,ASJ12049.1,,691244,692008
GCA_002498665.1,LHKBHFCD_00611,LHKBHFCD_00611,,23922,24437
GCA_000430485.1,AEIHIJLH_00978,AEIHIJLH_00978,,587313,587666
GCA_000186365.1,Desmu_0994,ADV65296.1,,975865,976953
GCA_000979585.1,DU36_19530,KKG48643.1,,1964,3727
GCA_000980025.1,DU87_17910,KKH64857.1,,8393,8683
GCA_002496555.1,HJFBLEKO_00641,HJFBLEKO_00641,,43666,44685
GCA_001560515.1,BIICEEPG_01947,BIICEEPG_01947,,229840,230742
GCA_002898355.1,HRbin01_01461,GBC69757.1,,9204,10121
GCA_000621965.1,KOPIIBIJ_00901,KOPIIBIJ_00901,,19454,20458
GCA_000970285.1,MSHOH_0845,AKB77328.1,,1002075,1002677
GCA_000405905.1,GLLFBIKD_00797,GLLFBIKD_00797,,1505,2476
GCA_000979185.1,DU71_06595,KKH37915.1,,8797,9087
GCA_002508805.1,NGACKDAF_00884,NGACKDAF_00884,,595,1629
GCA_002499445.1,ACBPDHNH_01211,ACBPDHNH_01211,,106711,108948
GCA_001266715.1,MsedD_1157,AKV80910.1,,1077201,1077959
GCA_001316085.1,CIBGEIDD_02471,CIBGEIDD_02471,,27312,27740
GCA_000245275.2,BBOLJCCI_00897,BBOLJCCI_00897,,843597,844241
GCA_000190115.2,FNGJBKBO_01758,FNGJBKBO_01758,,757,1608
GCA_000979295.1,EO95_17980,KKH99568.1,,2425,3111
GCA_002503825.1,HNFAKEMI_02450,HNFAKEMI_02450,,145294,146949
GCA_001266715.1,MsedD_1187,AKV80935.1,,1134540,1135184
GCA_001560685.1,ILGFBMPN_01569,ILGFBMPN_01569,,40020,40775
GCA_000398765.1,EJAAJFKD_01079,EJAAJFKD_01079,,883,1869
GCA_001560765.1,HODOBGIE_02399,HODOBGIE_02399,,54825,55667
GCA_002498225.1,JFLDHFGF_00071,JFLDHFGF_00071,,60740,61003
GCA_001560645.1,AEPHJOEN_00318,AEPHJOEN_00318,,284149,284760
GCA_000980085.1,DU78_01355,KKH72301.1,,7752,9257
GCA_000970065.1,MSBR2_2607,AKB59123.1,,3402502,3403203
GCA_001477655.1,sm9_1180,ALT68963.1,,1307981,1308262
GCA_000979335.1,DU31_12930,KKG03140.1,,16632,16898
GCA_000024745.1,Ssol_2490,ACX92626.1,,2291870,2292595
GCA_001266715.1,MsedD_1160,AKV80913.1,,1080143,1081114
GCA_002898355.1,HRbin01_01613,GBC69908.1,,25130,25891
GCA_001316245.1,HKNNLONN_01290,HKNNLONN_01290,,6820,7194
GCA_001189275.1,PYWP30_00592,AKT34241.1,,529648,532107
GCA_002494625.1,JFNLIPMI_00047,JFNLIPMI_00047,,42168,42665
GCA_000769655.1,TEU_06685,AIU70036.1,,1212219,1212566
GCA_001560835.1,EILDKIMM_00419,EILDKIMM_00419,,411942,412736
GCA_001027005.1,MCM1_1900,AKJ38924.1,,2375493,2376404
GCA_900198835.1,OAOADCOO_00927,OAOADCOO_00927,,815715,815972
GCA_000011185.1,,BAB59252.1,,115343,115825
GCA_000979125.1,DU60_04320,KKH32285.1,,18514,19254
GCA_001560275.1,GKBDGCJL_00001,GKBDGCJL_00001,,286,687
GCA_900198835.1,OAOADCOO_00934,OAOADCOO_00934,,822117,823205
GCA_000336975.1,C458_01060,ELZ72262.1,,218015,219094
GCA_000245115.2,ELEAMKNB_01953,ELEAMKNB_01953,,8906,9679
GCA_002494625.1,JFNLIPMI_00584,JFNLIPMI_00584,,1354,1986
GCA_002215305.1,ABJOBNHB_03408,ABJOBNHB_03408,,8883,9434
